event_id,true_label,actor_norm,pred_label_gemma3:4b,pred_label_llama3.2:3b,pred_label_mistral:7b,pred_label_olmo2:7b,pred_prob_gemma3:4b,pred_prob_llama3.2:3b,pred_prob_mistral:7b,pred_prob_olmo2:7b,disagreement_count,max_confidence
CAO12441,V,State forces (Cameroon),V,B,B,B,0.85,0.85,0.9499999999999998,0.85,2,0.9499999999999998
CAO9790,B,State forces (Cameroon),B,V,B,B,0.85,0.85,0.9499999999999998,0.85,2,0.9499999999999998
CAO9208,B,State forces (Cameroon),V,V,B,B,0.85,0.85,0.9499999999999998,0.85,2,0.9499999999999998
CAO7435,V,State forces (Cameroon),V,V,B,V,0.85,0.9499999999999998,0.9499999999999998,0.9499999999999998,2,0.9499999999999998
CAO2848,V,State forces (Cameroon),V,V,V,B,0.85,0.85,0.9499999999999998,0.85,2,0.9499999999999998
CAO5023,B,State forces (Cameroon),V,B,B,B,0.85,0.85,0.9499999999999998,0.85,2,0.9499999999999998
CAO6821,B,State forces (Cameroon),B,V,B,B,0.85,0.85,0.9499999999999998,0.85,2,0.9499999999999998
CAO2944,B,State forces (Cameroon),V,V,B,B,0.85,0.85,0.9499999999999998,0.85,2,0.9499999999999998
CAO8944,B,State forces (Cameroon),V,B,B,B,0.85,0.85,0.9499999999999998,0.85,2,0.9499999999999998
CAO4982,B,State forces (Cameroon),V,V,B,B,0.85,0.85,0.9499999999999998,0.85,2,0.9499999999999998
CAO4953,B,State forces (Cameroon),V,V,B,B,0.85,0.85,0.9499999999999998,0.85,2,0.9499999999999998
CAO6829,V,State forces (Cameroon),V,B,V,V,0.8,0.6,0.9499999999999998,0.85,2,0.9499999999999998
CAO9658,B,State forces (Cameroon),V,V,B,S,0.85,0.85,0.9499999999999998,0.65,3,0.9499999999999998
CAO12596,B,State forces (Cameroon),V,V,B,B,0.85,0.9499999999999998,0.9499999999999998,0.85,2,0.9499999999999998
CAO13743,B,State forces (Cameroon),V,S,S,B,0.85,0.77,0.9499999999999998,0.85,3,0.9499999999999998
CAO14085,S,State forces (Cameroon),V,P,R,S,0.75,0.85,0.75,0.65,4,0.85
CAO9991,V,State forces (Cameroon),V,V,B,V,0.85,0.85,0.75,0.85,2,0.85
CAO3243,S,State forces (Cameroon),V,R,V,V,0.85,0.85,0.75,0.85,2,0.85
CAO15906,S,State forces (Cameroon),V,V,V,S,0.85,0.85,0.65,0.65,2,0.85
CAO5005,S,State forces (Cameroon),V,S,S,S,0.8,0.6,0.75,0.65,2,0.8
