event_id,model,true_label,pred_label,pred_conf_temp,actor_norm,annotation_provenance,annotation_ambiguous_actor,annotation_verb_intensity,annotation_casualty_counts,annotation_passive_voice,annotation_notes
CAO2947,mistral:7b,V,S,0.75,State forces (Cameroon),,,,,,
CAO10782,mistral:7b,V,B,0.9499999999999998,State forces (Cameroon),,,,,,
CAO12441,mistral:7b,V,B,0.9499999999999998,State forces (Cameroon),,,,,,
CAO12122,mistral:7b,V,B,0.9499999999999998,State forces (Cameroon),,,,,,
CAO12122,olmo2:7b,V,B,0.93,State forces (Cameroon),,,,,,
CAO12863,olmo2:7b,V,B,0.85,State forces (Cameroon),,,,,,
CAO3752,olmo2:7b,V,S,0.75,State forces (Cameroon),,,,,,
CAO9513,olmo2:7b,V,B,0.85,State forces (Cameroon),,,,,,
CAO9051,olmo2:7b,V,B,0.85,State forces (Cameroon),,,,,,
CAO7435,olmo2:7b,V,B,0.93,State forces (Cameroon),,,,,,
CAO9887,olmo2:7b,V,B,0.93,State forces (Cameroon),,,,,,
CAO2848,olmo2:7b,V,B,0.93,State forces (Cameroon),,,,,,
CAO2947,olmo2:7b,V,S,0.75,State forces (Cameroon),,,,,,
CAO3794,olmo2:7b,V,B,0.85,State forces (Cameroon),,,,,,
CAO2941,olmo2:7b,V,B,0.85,State forces (Cameroon),,,,,,
CAO2885,olmo2:7b,V,B,0.93,State forces (Cameroon),,,,,,
CAO12441,olmo2:7b,V,B,0.93,State forces (Cameroon),,,,,,
