model,prob_col,threshold,accepted,coverage,correct,accuracy,total_valid
mistral:7b,pred_conf,0.0,200,1.0,138,0.69,200
mistral:7b,pred_conf,0.1,200,1.0,138,0.69,200
mistral:7b,pred_conf,0.2,200,1.0,138,0.69,200
mistral:7b,pred_conf,0.3,200,1.0,138,0.69,200
mistral:7b,pred_conf,0.4,200,1.0,138,0.69,200
mistral:7b,pred_conf,0.5,200,1.0,138,0.69,200
mistral:7b,pred_conf,0.6,200,1.0,138,0.69,200
mistral:7b,pred_conf,0.7,192,0.96,137,0.714,200
mistral:7b,pred_conf,0.8,168,0.84,133,0.792,200
mistral:7b,pred_conf,0.9,150,0.75,123,0.82,200
mistral:7b,pred_conf,0.95,147,0.735,121,0.823,200
mistral:7b,pred_conf,0.99,0,0.0,0,,200
mistral:7b,pred_conf_iso,0.0,200,1.0,138,0.69,200
mistral:7b,pred_conf_iso,0.1,200,1.0,138,0.69,200
mistral:7b,pred_conf_iso,0.2,192,0.96,137,0.714,200
mistral:7b,pred_conf_iso,0.3,192,0.96,137,0.714,200
mistral:7b,pred_conf_iso,0.4,168,0.84,133,0.792,200
mistral:7b,pred_conf_iso,0.5,168,0.84,133,0.792,200
mistral:7b,pred_conf_iso,0.6,150,0.75,123,0.82,200
mistral:7b,pred_conf_iso,0.7,150,0.75,123,0.82,200
mistral:7b,pred_conf_iso,0.8,150,0.75,123,0.82,200
mistral:7b,pred_conf_iso,0.9,0,0.0,0,,200
mistral:7b,pred_conf_iso,0.95,0,0.0,0,,200
mistral:7b,pred_conf_iso,0.99,0,0.0,0,,200
mistral:7b,pred_conf_temp,0.0,200,1.0,138,0.69,200
mistral:7b,pred_conf_temp,0.1,200,1.0,138,0.69,200
mistral:7b,pred_conf_temp,0.2,200,1.0,138,0.69,200
mistral:7b,pred_conf_temp,0.3,200,1.0,138,0.69,200
mistral:7b,pred_conf_temp,0.4,200,1.0,138,0.69,200
mistral:7b,pred_conf_temp,0.5,200,1.0,138,0.69,200
mistral:7b,pred_conf_temp,0.6,200,1.0,138,0.69,200
mistral:7b,pred_conf_temp,0.7,192,0.96,137,0.714,200
mistral:7b,pred_conf_temp,0.8,168,0.84,133,0.792,200
mistral:7b,pred_conf_temp,0.9,150,0.75,123,0.82,200
mistral:7b,pred_conf_temp,0.95,40,0.2,30,0.75,200
mistral:7b,pred_conf_temp,0.99,0,0.0,0,,200
