event_id,model,true_label,pred_label,pred_conf_temp,actor_norm,annotation_provenance,annotation_ambiguous_actor,annotation_verb_intensity,annotation_casualty_counts,annotation_passive_voice,annotation_notes
CAO2947,mistral:7b,V,S,0.75,State forces (Cameroon),,,,,,
CAO9991,mistral:7b,V,B,0.9499999999999998,State forces (Cameroon),,,,,,
CAO12441,mistral:7b,V,B,0.98,State forces (Cameroon),,,,,,
CAO12122,mistral:7b,V,B,0.9499999999999998,State forces (Cameroon),,,,,,
CAO12863,olmo2:7b,V,S,0.7,State forces (Cameroon),,,,,,
CAO3752,olmo2:7b,V,S,0.7,State forces (Cameroon),,,,,,
CAO7435,olmo2:7b,V,B,0.85,State forces (Cameroon),,,,,,
CAO9887,olmo2:7b,V,B,0.85,State forces (Cameroon),,,,,,
CAO2947,olmo2:7b,V,S,0.7,State forces (Cameroon),,,,,,
CAO9764,olmo2:7b,V,S,0.65,State forces (Cameroon),,,,,,
CAO2941,olmo2:7b,V,B,0.85,State forces (Cameroon),,,,,,
CAO2885,olmo2:7b,V,B,0.85,State forces (Cameroon),,,,,,
CAO12441,olmo2:7b,V,B,0.93,State forces (Cameroon),,,,,,
CAO12441,gemma3:4b,V,B,0.92,State forces (Cameroon),,,,,,
CAO2838,llama3.2:3b,V,S,0.85,State forces (Cameroon),,,,,,
CAO12863,llama3.2:3b,V,S,0.85,State forces (Cameroon),,,,,,
CAO3752,llama3.2:3b,V,B,0.85,State forces (Cameroon),,,,,,
CAO4561,llama3.2:3b,V,B,0.85,State forces (Cameroon),,,,,,
CAO2947,llama3.2:3b,V,S,0.85,State forces (Cameroon),,,,,,
CAO12441,llama3.2:3b,V,B,0.85,State forces (Cameroon),,,,,,
