model,prob_col,threshold,accepted,coverage,correct,accuracy,total_valid
mistral:7b,pred_conf,0.0,200,1.0,145,0.725,200
mistral:7b,pred_conf,0.1,200,1.0,145,0.725,200
mistral:7b,pred_conf,0.2,200,1.0,145,0.725,200
mistral:7b,pred_conf,0.3,200,1.0,145,0.725,200
mistral:7b,pred_conf,0.4,200,1.0,145,0.725,200
mistral:7b,pred_conf,0.5,200,1.0,145,0.725,200
mistral:7b,pred_conf,0.6,200,1.0,145,0.725,200
mistral:7b,pred_conf,0.7,197,0.985,145,0.736,200
mistral:7b,pred_conf,0.8,171,0.855,132,0.772,200
mistral:7b,pred_conf,0.9,158,0.79,128,0.81,200
mistral:7b,pred_conf,0.95,137,0.685,115,0.839,200
mistral:7b,pred_conf,0.99,1,0.005,0,0.0,200
olmo2:7b,pred_conf,0.0,200,1.0,158,0.79,200
olmo2:7b,pred_conf,0.1,200,1.0,158,0.79,200
olmo2:7b,pred_conf,0.2,200,1.0,158,0.79,200
olmo2:7b,pred_conf,0.3,200,1.0,158,0.79,200
olmo2:7b,pred_conf,0.4,200,1.0,158,0.79,200
olmo2:7b,pred_conf,0.5,200,1.0,158,0.79,200
olmo2:7b,pred_conf,0.6,200,1.0,158,0.79,200
olmo2:7b,pred_conf,0.7,191,0.955,151,0.791,200
olmo2:7b,pred_conf,0.8,165,0.825,134,0.812,200
olmo2:7b,pred_conf,0.9,120,0.6,99,0.825,200
olmo2:7b,pred_conf,0.95,44,0.22,26,0.591,200
olmo2:7b,pred_conf,0.99,2,0.01,2,1.0,200
gemma3:4b,pred_conf,0.0,200,1.0,91,0.455,200
gemma3:4b,pred_conf,0.1,200,1.0,91,0.455,200
gemma3:4b,pred_conf,0.2,200,1.0,91,0.455,200
gemma3:4b,pred_conf,0.3,200,1.0,91,0.455,200
gemma3:4b,pred_conf,0.4,200,1.0,91,0.455,200
gemma3:4b,pred_conf,0.5,200,1.0,91,0.455,200
gemma3:4b,pred_conf,0.6,200,1.0,91,0.455,200
gemma3:4b,pred_conf,0.7,200,1.0,91,0.455,200
gemma3:4b,pred_conf,0.8,197,0.985,91,0.462,200
gemma3:4b,pred_conf,0.9,31,0.155,22,0.71,200
gemma3:4b,pred_conf,0.95,0,0.0,0,,200
gemma3:4b,pred_conf,0.99,0,0.0,0,,200
llama3.2:3b,pred_conf,0.0,200,1.0,129,0.645,200
llama3.2:3b,pred_conf,0.1,200,1.0,129,0.645,200
llama3.2:3b,pred_conf,0.2,197,0.985,128,0.65,200
llama3.2:3b,pred_conf,0.3,197,0.985,128,0.65,200
llama3.2:3b,pred_conf,0.4,197,0.985,128,0.65,200
llama3.2:3b,pred_conf,0.5,197,0.985,128,0.65,200
llama3.2:3b,pred_conf,0.6,197,0.985,128,0.65,200
llama3.2:3b,pred_conf,0.7,197,0.985,128,0.65,200
llama3.2:3b,pred_conf,0.8,195,0.975,128,0.656,200
llama3.2:3b,pred_conf,0.9,74,0.37,56,0.757,200
llama3.2:3b,pred_conf,0.95,20,0.1,10,0.5,200
llama3.2:3b,pred_conf,0.99,1,0.005,0,0.0,200
mistral:7b,pred_conf_iso,0.0,200,1.0,145,0.725,200
mistral:7b,pred_conf_iso,0.1,200,1.0,145,0.725,200
mistral:7b,pred_conf_iso,0.2,197,0.985,145,0.736,200
mistral:7b,pred_conf_iso,0.3,197,0.985,145,0.736,200
mistral:7b,pred_conf_iso,0.4,171,0.855,132,0.772,200
mistral:7b,pred_conf_iso,0.5,171,0.855,132,0.772,200
mistral:7b,pred_conf_iso,0.6,158,0.79,128,0.81,200
mistral:7b,pred_conf_iso,0.7,158,0.79,128,0.81,200
mistral:7b,pred_conf_iso,0.8,139,0.695,116,0.835,200
mistral:7b,pred_conf_iso,0.9,77,0.385,67,0.87,200
mistral:7b,pred_conf_iso,0.95,0,0.0,0,,200
mistral:7b,pred_conf_iso,0.99,0,0.0,0,,200
olmo2:7b,pred_conf_iso,0.0,200,1.0,158,0.79,200
olmo2:7b,pred_conf_iso,0.1,200,1.0,158,0.79,200
olmo2:7b,pred_conf_iso,0.2,200,1.0,158,0.79,200
olmo2:7b,pred_conf_iso,0.3,200,1.0,158,0.79,200
olmo2:7b,pred_conf_iso,0.4,200,1.0,158,0.79,200
olmo2:7b,pred_conf_iso,0.5,200,1.0,158,0.79,200
olmo2:7b,pred_conf_iso,0.6,191,0.955,151,0.791,200
olmo2:7b,pred_conf_iso,0.7,165,0.825,134,0.812,200
olmo2:7b,pred_conf_iso,0.8,120,0.6,99,0.825,200
olmo2:7b,pred_conf_iso,0.9,2,0.01,2,1.0,200
olmo2:7b,pred_conf_iso,0.95,2,0.01,2,1.0,200
olmo2:7b,pred_conf_iso,0.99,2,0.01,2,1.0,200
gemma3:4b,pred_conf_iso,0.0,200,1.0,91,0.455,200
gemma3:4b,pred_conf_iso,0.1,197,0.985,91,0.462,200
gemma3:4b,pred_conf_iso,0.2,197,0.985,91,0.462,200
gemma3:4b,pred_conf_iso,0.3,185,0.925,89,0.481,200
gemma3:4b,pred_conf_iso,0.4,185,0.925,89,0.481,200
gemma3:4b,pred_conf_iso,0.5,31,0.155,22,0.71,200
gemma3:4b,pred_conf_iso,0.6,31,0.155,22,0.71,200
gemma3:4b,pred_conf_iso,0.7,31,0.155,22,0.71,200
gemma3:4b,pred_conf_iso,0.8,0,0.0,0,,200
gemma3:4b,pred_conf_iso,0.9,0,0.0,0,,200
gemma3:4b,pred_conf_iso,0.95,0,0.0,0,,200
gemma3:4b,pred_conf_iso,0.99,0,0.0,0,,200
llama3.2:3b,pred_conf_iso,0.0,200,1.0,129,0.645,200
llama3.2:3b,pred_conf_iso,0.1,200,1.0,129,0.645,200
llama3.2:3b,pred_conf_iso,0.2,200,1.0,129,0.645,200
llama3.2:3b,pred_conf_iso,0.3,200,1.0,129,0.645,200
llama3.2:3b,pred_conf_iso,0.4,193,0.965,128,0.663,200
llama3.2:3b,pred_conf_iso,0.5,193,0.965,128,0.663,200
llama3.2:3b,pred_conf_iso,0.6,193,0.965,128,0.663,200
llama3.2:3b,pred_conf_iso,0.7,46,0.23,36,0.783,200
llama3.2:3b,pred_conf_iso,0.8,0,0.0,0,,200
llama3.2:3b,pred_conf_iso,0.9,0,0.0,0,,200
llama3.2:3b,pred_conf_iso,0.95,0,0.0,0,,200
llama3.2:3b,pred_conf_iso,0.99,0,0.0,0,,200
mistral:7b,pred_conf_temp,0.0,200,1.0,145,0.725,200
mistral:7b,pred_conf_temp,0.1,200,1.0,145,0.725,200
mistral:7b,pred_conf_temp,0.2,200,1.0,145,0.725,200
mistral:7b,pred_conf_temp,0.3,200,1.0,145,0.725,200
mistral:7b,pred_conf_temp,0.4,200,1.0,145,0.725,200
mistral:7b,pred_conf_temp,0.5,200,1.0,145,0.725,200
mistral:7b,pred_conf_temp,0.6,200,1.0,145,0.725,200
mistral:7b,pred_conf_temp,0.7,197,0.985,145,0.736,200
mistral:7b,pred_conf_temp,0.8,171,0.855,132,0.772,200
mistral:7b,pred_conf_temp,0.9,139,0.695,116,0.835,200
mistral:7b,pred_conf_temp,0.95,77,0.385,67,0.87,200
mistral:7b,pred_conf_temp,0.99,1,0.005,0,0.0,200
olmo2:7b,pred_conf_temp,0.0,200,1.0,158,0.79,200
olmo2:7b,pred_conf_temp,0.1,200,1.0,158,0.79,200
olmo2:7b,pred_conf_temp,0.2,200,1.0,158,0.79,200
olmo2:7b,pred_conf_temp,0.3,200,1.0,158,0.79,200
olmo2:7b,pred_conf_temp,0.4,200,1.0,158,0.79,200
