model,event_id,true_label,pred_label,pred_conf,logits,latency_sec,actor_norm,pred_conf_iso,pred_conf_temp,prob_V,prob_B,prob_E,prob_P,prob_R,prob_S
mistral:7b,NIG31440,B,B,0.95,"[0.1, 0.2, 0.3, 0.15, 0.1, 0.15]",0.89,Other Actors,0.721502590673575,0.9499999999999998,0.15554238255737637,0.17190091773060928,0.18997989506638382,0.16351721104403205,0.15554238255737637,0.16351721104403205
mistral:7b,NIG29242,V,V,0.95,"[0.1, 0.05, 0.2, 0.3, 0.15, 0.2]",0.83,Other Actors,0.721502590673575,0.9499999999999998,0.15541838740947,0.1478385432123392,0.17176388189916067,0.18982844705073249,0.1633868585289472,0.17176388189916067
mistral:7b,NIG27958,V,V,0.95,"[0.1, 0.05, 0.2, 0.02, 0.0, 0.68]",0.72,Other Actors,0.721502590673575,0.9499999999999998,0.14991621472657576,0.14260471465768612,0.16568304066379566,0.13839010840251095,0.1356498006549193,0.2677561208942444
mistral:7b,NIG22636,B,R,0.95,"[0.1, 0.05, 0.2, 0.3, 0.15, 0.2]",0.84,Other Actors,0.721502590673575,0.9499999999999998,0.15541838740947,0.1478385432123392,0.17176388189916067,0.18982844705073249,0.1633868585289472,0.17176388189916067
mistral:7b,NIG19496,E,B,0.95,"[0.1, 0.05, 0.3, 0.2, 0.15, 0.2]",0.85,Other Actors,0.721502590673575,0.9499999999999998,0.15541838740947,0.1478385432123392,0.18982844705073249,0.17176388189916067,0.1633868585289472,0.17176388189916067
mistral:7b,NIG23985,B,B,0.95,"[0.1, 0.2, 0.3, 0.15, 0.1, 0.15]",0.73,Other Actors,0.721502590673575,0.9499999999999998,0.15554238255737637,0.17190091773060928,0.18997989506638382,0.16351721104403205,0.15554238255737637,0.16351721104403205
mistral:7b,NIG28746,E,B,0.95,"[0.05, 0.05, 0.15, 0.1, 0.1, 0.55]",0.8,Other Actors,0.721502590673575,0.9499999999999998,0.14584840229695728,0.14584840229695728,0.1611874126663947,0.1533262097874137,0.1533262097874137,0.2404633631646229
mistral:7b,NIG35037,S,S,0.95,"[0.1, 0.05, 0.2, 0.03, 0.02, 0.6]",0.82,Other Actors,0.721502590673575,0.9499999999999998,0.15242434472757932,0.14499052171511373,0.16845495299965785,0.14211951702720876,0.1407054042053001,0.25130525932488895
mistral:7b,NIG21087,B,B,0.95,"[0.1, 0.2, 0.3, 0.15, 0.05, 0.15]",0.73,Other Actors,0.721502590673575,0.9499999999999998,0.1567313294188564,0.17321490722505428,0.19143207804230136,0.16476711651463294,0.1490874522843306,0.16476711651463294
mistral:7b,NIG24783,B,B,0.95,"[0.1, 0.05, 0.2, 0.03, 0.02, 0.6]",0.87,Other Actors,0.721502590673575,0.9499999999999998,0.15242434472757932,0.14499052171511373,0.16845495299965785,0.14211951702720876,0.1407054042053001,0.25130525932488895
